Run C_0 C_1 C_2 C_3 avg_workers
0 37.48 37.36 37.86 37.85 37.69 
1 39.46 39.53 39.39 39.52 39.48 
2 37.57 37.57 37.45 37.33 37.45 
3 39.82 39.87 39.73 39.73 39.78 
4 43.83 43.71 43.94 44.33 43.99 
5 37.66 37.72 37.65 37.47 37.61 
6 44.52 44.36 43.95 43.80 44.03 
7 38.00 38.31 38.11 38.44 38.29 
8 40.06 39.99 39.89 39.80 39.89 
9 39.43 36.55 37.39 0.00 36.97 
10 37.74 40.14 40.09 39.84 40.02 
11 39.84 37.14 38.36 37.25 37.58 
12 39.76 36.23 36.95 46.30 39.82 
