experiment,cycle,start_peak_temp_c,end_peak_temp_c,old_frequencies_mhz,new_frequencies_mhz,active_cores,predicted_core_temps_c,predicted_temp_errors_c,start_core_temps_c,end_core_temps_c,start_core_powers_w,end_core_powers_w,start_core_utilizations,end_core_utilizations,start_core_cpis,end_core_cpis,start_core_rel_nuca_cpis,end_core_rel_nuca_cpis,start_core_ips,end_core_ips,start_core_task_ids,end_core_task_ids,start_core_thread_ids,end_core_thread_ids
"parsec-streamcluster-simsmall-3",139,62.83,80.21,"2500;2000;1000;1000","1500;2500;2500;1000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","49.67;62.83;54.52;55.38","48.52;80.21;78.87;52.17","0.7811186458;2.062031142;0.6824543647;0.6828351847","0.513987028;3.521827364;3.552549784;0.7124315277","0;0.3496503497;0.4071661238;0.4071661238","0;0.3602305476;0.3639010189;0.4472271914","2500030.195;0.715;0.614;0.614","1500027.117;0.694;0.687;0.559","0;0;0;0","0;0;0;0","999.9879221;2797202797;1628664495;1628664495","999.9819223;3602305476;3639010189;1788908766","0;0;0;0","0;0;0;0","0;22;24;23","0;22;24;23"
"parsec-streamcluster-simsmall-3",140,80.21,77.54,"1500;2500;2500;1000","2000;1500;1500;2500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","48.52;80.21;78.87;52.17","48.91;62.92;62.54;77.54","0.513987028;3.521827364;3.552549784;0.7124315277","0.6399895934;1.288984131;1.287952062;3.527176794","0;0.3602305476;0.3639010189;0.4472271914","0;0.4006410256;0.3993610224;0.3571428571","1500027.117;0.694;0.687;0.559","2000036.757;0.624;0.626;0.7","0;0;0;0","0;0;0;0","999.9819223;3602305476;3639010189;1788908766","999.9816218;2403846154;2396166134;3571428571","0;0;0;0","0;0;0;0","0;22;24;23","0;22;24;23"
"parsec-streamcluster-simsmall-3",141,77.54,61.91,"2000;1500;1500;2500","2000;2500;1000;1500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","48.91;62.92;62.54;77.54","61.91;51.2;54;61.71","0.6399895934;1.288984131;1.287952062;3.527176794","2.112751362;0.7811186458;0.6973889497;1.242714211","0;0.4006410256;0.3993610224;0.3571428571","0.3612716763;0;0.4266211604;0.382848392","2000036.757;0.624;0.626;0.7","0.692;2500012.025;0.586;0.653","0;0;0;0","0;0;0;0","999.9816218;2403846154;2396166134;3571428571","2890173410;999.99519;1706484642;2297090352","0;0;0;0","0;0;0;0","0;22;24;23","23;0;22;24"
"parsec-streamcluster-simsmall-3",142,61.91,78.42,"2000;2500;1000;1500","1000;1000;2500;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","61.91;51.2;54;61.71","52.83;48.03;78.42;67.11","2.112751362;0.7811186458;0.6973889497;1.242714211","0.7041552997;0.4027583553;3.503622904;2.164050692","0.3612716763;0;0.4266211604;0.382848392","0.4355400697;0;0.3581661891;0.3731343284","0.692;2500012.025;0.586;0.653","0.574;1000000.229;0.698;0.67","0;0;0;0","0;0;0;0","2890173410;999.99519;1706484642;2297090352","1742160279;999.999771;3581661891;2985074627","0;0;0;0","0;0;0;0","23;0;22;24","23;0;22;24"
"parsec-streamcluster-simsmall-3",143,78.42,85.69,"1000;1000;2500;2000","2500;2000;2500;2500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","52.83;48.03;78.42;67.11","78.86;48.84;85.69;82.36","0.7041552997;0.4027583553;3.503622904;2.164050692","3.716056144;0.6399895934;3.738764654;3.680946874","0.4355400697;0;0.3581661891;0.3731343284","0.3731343284;0;0.3765060241;0.3681885125","0.574;1000000.229;0.698;0.67","0.67;2000053.02;0.664;0.679","0;0;0;0","0;0;0;0","1742160279;999.999771;3581661891;2985074627","3731343284;999.9734907;3765060241;3681885125","0;0;0;0","0;0;0;0","23;0;22;24","23;0;22;24"
"parsec-streamcluster-simsmall-3",144,85.69,73.6,"2500;2000;2500;2500","2000;2000;2000;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","78.86;48.84;85.69;82.36","73.44;63.95;60.61;73.6","3.716056144;0.6399895934;3.738764654;3.680946874","2.467651312;2.333386492;0.9936453151;2.349284112","0.3731343284;0;0.3765060241;0.3681885125","0.3472222222;0.3213367609;0.0688225539;0.3246753247","0.67;2000053.02;0.664;0.679","0.72;0.778;3.618;0.77","0;0;0;0","0;0;0;0","3731343284;999.9734907;3765060241;3681885125","2777777778;2570694087;552791597.6;2597402597","0;0;0;0","0;0;0;0","23;0;22;24","25;26;0;27"
"parsec-streamcluster-simsmall-3",145,73.6,82.15,"2000;2000;2000;2000","1000;1000;1500;2500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","73.44;63.95;60.61;73.6","56.11;52.88;50.96;82.15","2.467651312;2.333386492;0.9936453151;2.349284112","0.6502213007;0.6562740637;0.513987028;3.348170454","0.3472222222;0.3213367609;0.0688225539;0.3246753247","0.3586800574;0.3676470588;0;0.339673913","0.72;0.778;3.618;0.77","0.697;0.68;1500006;0.736","0;0;0;0","0;0;0;0","2777777778;2570694087;552791597.6;2597402597","1434720230;1470588235;999.996;3396739130","0;0;0;0","0;0;0;0","25;26;0;27","25;26;0;27"
"parsec-streamcluster-simsmall-3",146,82.15,71.28,"1000;1000;1500;2500","1000;1000;2500;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","56.11;52.88;50.96;82.15","51.87;50.55;49.79;71.28","0.6502213007;0.6562740637;0.513987028;3.348170454","0.6401065837;0.6566399507;0.7811186458;2.033367782","0.3586800574;0.3676470588;0;0.339673913","0.3439226519;0.3709198813;0;0.3448275862","0.697;0.68;1500006;0.736","0.724;0.674;2500076.25;0.725","0;0;0;0","0;0;0;0","1434720230;1470588235;999.996;3396739130","1381215470;1483679525;999.9695009;2758620690","0;0;0;0","0;0;0;0","25;26;0;27","25;26;0;27"
"parsec-streamcluster-simsmall-3",147,71.28,58.84,"1000;1000;2500;2000","1000;1500;1500;1000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","51.87;50.55;49.79;71.28","52.22;58.84;48.67;58.08","0.6401065837;0.6566399507;0.7811186458;2.033367782","0.8115461767;1.598451872;0.5139870123;0.8374061187","0.3439226519;0.3709198813;0;0.3448275862","0.3566333809;0.3438789546;0;0.3805175038","0.724;0.674;2500076.25;0.725","0.701;0.727;1500048.829;0.657","0;0;0;0","0;0;0;0","1381215470;1483679525;999.9695009;2758620690","1426533524;2063273728;999.9674484;1522070015","0;0;0;0","0;0;0;0","25;26;0;27","25;26;0;27"
"parsec-streamcluster-simsmall-3",148,58.84,91.72,"1000;1500;1500;1000","2500;2500;2500;3000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","52.22;58.84;48.67;58.08","69.87;73.86;49.73;91.72","0.8115461767;1.598451872;0.5139870123;0.8374061187","2.874273104;3.108739184;0.7811186556;4.81157668","0.3566333809;0.3438789546;0;0.3805175038","0.3171974522;0.3566333809;0;0.3526093089","0.701;0.727;1500048.829;0.657","0.785;0.701;2500000.577;0.709","0;0;0;0","0;0;0;0","1426533524;2063273728;999.9674484;1522070015","3184713376;3566333809;999.9997692;4231311707","0;0;0;0","0;0;0;0","25;26;0;27","25;26;0;27"
"parsec-streamcluster-simsmall-3",149,91.72,64.67,"2500;2500;2500;3000","1000;1000;1000;1000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","69.87;73.86;49.73;91.72","57.93;59.63;48.09;64.67","2.874273104;3.108739184;0.7811186556;4.81157668","0.9680996577;1.029902008;0.4027583368;1.037376978","0.3171974522;0.3566333809;0;0.3526093089","0.3280632411;0.3676470588;0;0.3731343284","0.785;0.701;2500000.577;0.709","0.759;0.68;1000020.045;0.67","0;0;0;0","0;0;0;0","3184713376;3566333809;999.9997692;4231311707","1317523057;1470588235;999.9799554;1492537313","0;0;0;0","0;0;0;0","25;26;0;27","25;26;0;27"
"parsec-streamcluster-simsmall-3",150,64.67,79.68,"1000;1000;1000;1000","1000;2500;2500;1500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","57.93;59.63;48.09;64.67","49.45;79.68;74.54;59.25","0.9680996577;1.029902008;0.4027583368;1.037376978","0.4027583553;3.522212514;3.440577224;1.209892962","0.3280632411;0.3676470588;0;0.3731343284","0;0.3571428571;0.3457814661;0.3581661891","0.759;0.68;1000020.045;0.67","1000000.759;0.7;0.723;0.698","0;0;0;0","0;0;0;0","1317523057;1470588235;999.9799554;1492537313","999.999241;3571428571;3457814661;2148997135","0;0;0;0","0;0;0;0","25;26;0;27","0;27;26;25"
"parsec-streamcluster-simsmall-3",151,79.68,84.53,"1000;2500;2500;1500","2500;2500;2000;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","49.45;79.68;74.54;59.25","49.47;84.53;69.31;66.11","0.4027583553;3.522212514;3.440577224;1.209892962","0.7811186458;3.557751594;2.201212032;2.147157032","0;0.3571428571;0.3457814661;0.3581661891","0;0.3576537911;0.3725782414;0.3586800574","1000000.759;0.7;0.723;0.698","2500045.897;0.699;0.671;0.697","0;0;0;0","0;0;0;0","999.999241;3571428571;3457814661;2148997135","999.9816415;3576537911;2980625931;2869440459","0;0;0;0","0;0;0;0","0;27;26;25","0;27;26;25"
"parsec-streamcluster-simsmall-3",152,84.53,85.98,"2500;2500;2000;2000","1000;2500;1000;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","49.47;84.53;69.31;66.11","47.95;85.98;55.23;67.94","0.7811186458;3.557751594;2.201212032;2.147157032","0.4027583553;3.474865394;0.6907121017;2.143542252","0;0.3576537911;0.3725782414;0.3586800574","0;0.3546099291;0.4166666667;0.3692762186","2500045.897;0.699;0.671;0.697","1000000.759;0.705;0.6;0.677","0;0;0;0","0;0;0;0","999.9816415;3576537911;2980625931;2869440459","999.999241;3546099291;1666666667;2954209749","0;0;0;0","0;0;0;0","0;27;26;25","0;27;26;25"
"parsec-streamcluster-simsmall-3",153,85.98,70.16,"1000;2500;1000;2000","1500;1500;1500;1500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","47.95;85.98;55.23;67.94","48.21;70.16;61.91;64.96","0.4027583553;3.474865394;0.6907121017;2.143542252","0.5139870123;1.745980311;1.744479662;1.736857962","0;0.3546099291;0.4166666667;0.3692762186","0;0.382848392;0.382848392;0.3805175038","1000000.759;0.705;0.6;0.677","1500041.653;0.653;0.653;0.657","0;0;0;0","0;0;0;0","999.999241;3546099291;1666666667;2954209749","999.9722321;2297090352;2297090352;2283105023","0;0;0;0","0;0;0;0","0;27;26;25","0;27;26;25"
"parsec-streamcluster-simsmall-3",154,70.16,79.63,"1500;1500;1500;1500","1500;1000;2500;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","48.21;70.16;61.91;64.96","48.24;56.49;79.63;67.7","0.5139870123;1.745980311;1.744479662;1.736857962","0.513987028;0.6943450977;3.456740834;2.139576692","0;0.382848392;0.382848392;0.3805175038","0;0.4222972973;0.3526093089;0.3681885125","1500041.653;0.653;0.653;0.657","1500000.653;0.592;0.709;0.679","0;0;0;0","0;0;0;0","999.9722321;2297090352;2297090352;2283105023","999.9995647;1689189189;3526093089;2945508100","0;0;0;0","0;0;0;0","0;27;26;25","0;27;26;25"
