experiment,cycle,start_peak_temp_c,end_peak_temp_c,old_frequencies_mhz,new_frequencies_mhz,active_cores,predicted_core_temps_c,predicted_temp_errors_c,start_core_temps_c,end_core_temps_c,start_core_powers_w,end_core_powers_w,start_core_utilizations,end_core_utilizations,start_core_cpis,end_core_cpis,start_core_rel_nuca_cpis,end_core_rel_nuca_cpis,start_core_ips,end_core_ips,start_core_task_ids,end_core_task_ids,start_core_thread_ids,end_core_thread_ids
"parsec-streamcluster-simsmall-3",10,57.12,57.12,"2000;1000;1000;1000","2000;1000;1000;1000","1;0;0;0","nan;nan;nan;nan","nan;nan;nan;nan","51.98;54.27;55.7;57.12","51.98;54.27;55.7;57.12","0.4027635223;0.4027635223;1.988338102;0.4027635223","0.4027635223;0.4027635223;1.988338102;0.4027635223","0;0;0.29342723;0","0;0;0.29342723;0","18314.5;18314.5;0.852;18314.5","18314.5;18314.5;0.852;18314.5","0;0;0;0","0;0;0;0","109203.0904;54.60154522;1173708.92;54.60154522","109203.0904;54.60154522;1173708.92;54.60154522","0;0;0;0","0;0;0;0","0;-1;-1;-1","0;-1;-1;-1"
"parsec-streamcluster-simsmall-3",11,57.12,57.12,"2000;1000;1000;1000","2000;1000;1000;1000","1;0;0;0","nan;nan;nan;nan","nan;nan;nan;nan","51.98;54.27;55.7;57.12","51.98;54.27;55.7;57.12","0.4027635223;0.4027635223;1.988338102;0.4027635223","0.4027635223;0.4027635223;1.988338102;0.4027635223","0;0;0.29342723;0","0;0;0.29342723;0","18314.5;18314.5;0.852;18314.5","18314.5;18314.5;0.852;18314.5","0;0;0;0","0;0;0;0","109203.0904;54.60154522;1173708.92;54.60154522","109203.0904;54.60154522;1173708.92;54.60154522","0;0;0;0","0;0;0;0","0;-1;-1;-1","0;1;2;3"
"parsec-streamcluster-simsmall-3",12,57.12,57.12,"2000;1000;1000;1000","2500;3000;3000;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","51.98;54.27;55.7;57.12","51.98;54.27;55.7;57.12","0.4027635223;0.4027635223;1.988338102;0.4027635223","0.4027635223;0.4027635223;1.988338102;0.4027635223","0;0;0.29342723;0","0;0;0.29342723;0","18314.5;18314.5;0.852;18314.5","18314.5;18314.5;0.852;18314.5","0;0;0;0","0;0;0;0","109203.0904;54.60154522;1173708.92;54.60154522","136503.8631;163804.6357;3521126761;109203.0904","0;0;0;0","0;0;0;0","0;1;2;3","0;1;2;3"
"parsec-streamcluster-simsmall-3",13,57.12,57.12,"2500;3000;3000;2000","2500;2500;2000;2500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","51.98;54.27;55.7;57.12","51.98;54.27;55.7;57.12","0.4027635223;0.4027635223;1.988338102;0.4027635223","0.4027635223;0.4027635223;1.988338102;0.4027635223","0;0;0.29342723;0","0;0;0.29342723;0","18314.5;18314.5;0.852;18314.5","18314.5;18314.5;0.852;18314.5","0;0;0;0","0;0;0;0","136503.8631;163804.6357;3521126761;109203.0904","136503.8631;136503.8631;2347417840;136503.8631","0;0;0;0","0;0;0;0","0;1;2;3","1;2;0;3"
"parsec-streamcluster-simsmall-3",14,57.12,57.12,"2500;2500;2000;2500","2500;2500;2000;3000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","51.98;54.27;55.7;57.12","51.98;54.27;55.7;57.12","0.4027635223;0.4027635223;1.988338102;0.4027635223","0.4027635223;0.4027635223;1.988338102;0.4027635223","0;0;0.29342723;0","0;0;0.29342723;0","18314.5;18314.5;0.852;18314.5","18314.5;18314.5;0.852;18314.5","0;0;0;0","0;0;0;0","136503.8631;136503.8631;2347417840;136503.8631","136503.8631;136503.8631;2347417840;163804.6357","0;0;0;0","0;0;0;0","1;2;0;3","2;1;3;0"
"parsec-streamcluster-simsmall-3",15,57.12,57.12,"2500;2500;2000;3000","3000;3000;2000;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","51.98;54.27;55.7;57.12","51.98;54.27;55.7;57.12","0.4027635223;0.4027635223;1.988338102;0.4027635223","0.4027635223;0.4027635223;1.988338102;0.4027635223","0;0;0.29342723;0","0;0;0.29342723;0","18314.5;18314.5;0.852;18314.5","18314.5;18314.5;0.852;18314.5","0;0;0;0","0;0;0;0","136503.8631;136503.8631;2347417840;163804.6357","163804.6357;163804.6357;2347417840;109203.0904","0;0;0;0","0;0;0;0","2;1;3;0","2;1;3;0"
"parsec-streamcluster-simsmall-3",16,57.12,57.12,"3000;3000;2000;2000","2000;2500;2000;2500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","51.98;54.27;55.7;57.12","51.98;54.27;55.7;57.12","0.4027635223;0.4027635223;1.988338102;0.4027635223","0.4027635223;0.4027635223;1.988338102;0.4027635223","0;0;0.29342723;0","0;0;0.29342723;0","18314.5;18314.5;0.852;18314.5","18314.5;18314.5;0.852;18314.5","0;0;0;0","0;0;0;0","163804.6357;163804.6357;2347417840;109203.0904","109203.0904;136503.8631;2347417840;136503.8631","0;0;0;0","0;0;0;0","2;1;3;0","3;0;1;2"
"parsec-streamcluster-simsmall-3",17,57.12,57.12,"2000;2500;2000;2500","2500;2500;2500;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","51.98;54.27;55.7;57.12","51.98;54.27;55.7;57.12","0.4027635223;0.4027635223;1.988338102;0.4027635223","0.4027635223;0.4027635223;1.988338102;0.4027635223","0;0;0.29342723;0","0;0;0.29342723;0","18314.5;18314.5;0.852;18314.5","18314.5;18314.5;0.852;18314.5","0;0;0;0","0;0;0;0","109203.0904;136503.8631;2347417840;136503.8631","136503.8631;136503.8631;2934272300;109203.0904","0;0;0;0","0;0;0;0","3;0;1;2","2;1;0;3"
"parsec-streamcluster-simsmall-3",18,57.12,64.13,"2500;2500;2500;2000","2500;2000;3000;2500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","51.98;54.27;55.7;57.12","64.13;54.84;61.39;53.28","0.4027635223;0.4027635223;1.988338102;0.4027635223","2.557700114;1.556195302;2.4624671;1.549558334","0;0;0.29342723;0","0.2863387978;0.215932914;0.1871249318;0.1345707657","18314.5;18314.5;0.852;18314.5","0.915;0.954;1.833;2.155","0;0;0;0","0;0;0;0","136503.8631;136503.8631;2934272300;109203.0904","2732240437;2096436059;1636661211;1160092807","0;0;0;0","0;0;0;0","2;1;0;3","2;1;3;0"
"parsec-streamcluster-simsmall-3",19,64.13,64.13,"2500;2000;3000;2500","1500;1000;2500;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","64.13;54.84;61.39;53.28","64.13;54.84;61.39;53.28","2.557700114;1.556195302;2.4624671;1.549558334","2.557700114;1.556195302;2.4624671;1.549558334","0.2863387978;0.215932914;0.1871249318;0.1345707657","0.2863387978;0.215932914;0.1871249318;0.1345707657","0.915;0.954;1.833;2.155","0.915;0.954;1.833;2.155","0;0;0;0","0;0;0;0","2732240437;2096436059;1636661211;1160092807","1639344262;1048218029;1363884343;928074245.9","0;0;0;0","0;0;0;0","2;1;3;0","0;2;1;3"
