experiment,cycle,start_peak_temp_c,end_peak_temp_c,old_frequencies_mhz,new_frequencies_mhz,active_cores,predicted_core_temps_c,predicted_temp_errors_c,start_core_temps_c,end_core_temps_c,start_core_powers_w,end_core_powers_w,start_core_utilizations,end_core_utilizations,start_core_cpis,end_core_cpis,start_core_rel_nuca_cpis,end_core_rel_nuca_cpis,start_core_ips,end_core_ips,start_core_task_ids,end_core_task_ids,start_core_thread_ids,end_core_thread_ids
"parsec-blackscholes-simsmall-3",19,94.47,65.26,"2000;3000;3000;3000","1000;1000;1000;1000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","48.76;94.15;94.05;94.47","47.75;65.2;64.7;65.26","0.6399895998;4.88939427;4.85565001;4.8306205","0.4027583368;1.012838059;0.9964269957;0.9956378387","0;0.382848392;0.3799392097;0.3770739065","0;0.3858024691;0.3759398496;0.3753753754","2000000.565;0.653;0.658;0.663","1000000.283;0.648;0.665;0.666","0;0;0;0","0;0;0;0","999.9997175;4594180704;4559270517;4524886878","999.999717;1543209877;1503759398;1501501502","0;0;0;0","0;0;0;0","0;2;1;3","0;2;1;3"
"parsec-blackscholes-simsmall-3",20,65.26,66.77,"1000;1000;1000;1000","2000;1500;1500;1000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","47.75;65.2;64.7;65.26","66.77;61.67;61.42;52.07","0.4027583368;1.012838059;0.9964269957;0.9956378387","2.496372192;1.361083311;1.364073091;0.4027583522","0;0.3858024691;0.3759398496;0.3753753754","0.3834355828;0.3805175038;0.3822629969;0","1000000.283;0.648;0.665;0.666","0.652;0.657;0.654;1000000.618","0;0;0;0","0;0;0;0","999.999717;1543209877;1503759398;1501501502","3067484663;2283105023;2293577982;999.999382","0;0;0;0","0;0;0;0","0;2;1;3","2;3;1;0"
"parsec-blackscholes-simsmall-3",21,66.77,72.11,"2000;1500;1500;1000","2000;2000;2000;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","66.77;61.67;61.42;52.07","72.11;71.87;71.54;48.95","2.496372192;1.361083311;1.364073091;0.4027583522","2.509019492;2.487719582;2.472562552;0.6399895837","0.3834355828;0.3805175038;0.3822629969;0","0.3863987635;0.3816793893;0.3787878788;0","0.652;0.657;0.654;1000000.618","0.647;0.655;0.66;2000027.236","0;0;0;0","0;0;0;0","3067484663;2283105023;2293577982;999.999382","3091190108;3053435115;3030303030;999.9863822","0;0;0;0","0;0;0;0","2;3;1;0","2;3;1;0"
"parsec-blackscholes-simsmall-3",22,72.11,73.93,"2000;2000;2000;2000","2000;1500;1500;1000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","72.11;71.87;71.54;48.95","73.93;62.84;62.53;47.93","2.509019492;2.487719582;2.472562552;0.6399895837","2.504286392;1.374384011;1.360482761;0.4027583522","0.3863987635;0.3816793893;0.3787878788;0","0.3852080123;0.3863987635;0.3805175038;0","0.647;0.655;0.66;2000027.236","0.649;0.647;0.657;1000034.683","0;0;0;0","0;0;0;0","3091190108;3053435115;3030303030;999.9863822","3081664099;2318392581;2283105023;999.9653182","0;0;0;0","0;0;0;0","2;3;1;0","2;3;1;0"
"parsec-blackscholes-simsmall-3",23,73.93,85.4,"2000;1500;1500;1000","2500;2500;2000;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","73.93;62.84;62.53;47.93","85.4;82.74;67.64;48.86","2.504286392;1.374384011;1.360482761;0.4027583522","3.572905994;3.561185504;2.110788982;0.6399895934","0.3852080123;0.3863987635;0.3805175038;0","0.3840245776;0.382848392;0.3799392097;0","0.649;0.647;0.657;1000034.683","0.651;0.653;0.658;2000001.24","0;0;0;0","0;0;0;0","3081664099;2318392581;2283105023;999.9653182","3840245776;3828483920;3039513678;999.99938","0;0;0;0","0;0;0;0","2;3;1;0","2;3;1;0"
"parsec-blackscholes-simsmall-3",24,85.4,61.02,"2500;2500;2000;2000","1000;1500;1000;1500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","85.4;82.74;67.64;48.86","61.02;55.73;56.52;58.79","3.572905994;3.561185504;2.110788982;0.6399895934","0.7965911657;0.5139870123;0.8091034107;1.643501012","0.3840245776;0.382848392;0.3799392097;0","0.374251497;0;0.3858024691;0.3805175038","0.651;0.653;0.658;2000001.24","0.668;1500000.93;0.648;0.657","0;0;0;0","0;0;0;0","3840245776;3828483920;3039513678;999.99938","1497005988;999.99938;1543209877;2283105023","0;0;0;0","0;0;0;0","2;3;1;0","1;0;3;2"
"parsec-blackscholes-simsmall-3",25,61.02,79.81,"1000;1500;1000;1500","1000;1000;1000;2500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","61.02;55.73;56.52;58.79","50.91;52.2;51.95;79.81","0.7965911657;0.5139870123;0.8091034107;1.643501012","0.4027583553;0.6440917597;0.6437692357;3.484592184","0.374251497;0;0.3858024691;0.3805175038","0;0.3816793893;0.381097561;0.3720238095","0.668;1500000.93;0.648;0.657","1000000.335;0.655;0.656;0.672","0;0;0;0","0;0;0;0","1497005988;999.99938;1543209877;2283105023","999.999665;1526717557;1524390244;3720238095","0;0;0;0","0;0;0;0","1;0;3;2","0;3;2;1"
"parsec-blackscholes-simsmall-3",26,79.81,80,"1000;1000;1000;2500","2000;2500;1000;1000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","50.91;52.2;51.95;79.81","64.79;80;50.58;54.34","0.4027583553;0.6440917597;0.6437692357;3.484592184","2.109840402;3.571414874;0.6467276867;0.4027583553","0;0.3816793893;0.381097561;0.3720238095","0.3799392097;0.3840245776;0.3858024691;0","1000000.335;0.655;0.656;0.672","0.658;0.651;0.648;1000000","0;0;0;0","0;0;0;0","999.999665;1526717557;1524390244;3720238095","3039513678;3840245776;1543209877;1000","0;0;0;0","0;0;0;0","0;3;2;1","1;3;2;0"
"parsec-blackscholes-simsmall-3",27,80,86.62,"2000;2500;1000;1000","1000;2500;1000;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","64.79;80;50.58;54.34","53.62;86.62;50.02;49.01","2.109840402;3.571414874;0.6467276867;0.4027583553","0.6408061337;3.576662804;0.6489119947;0.6399895934","0.3799392097;0.3840245776;0.3858024691;0","0.3770739065;0.3846153846;0.3894080997;0","0.658;0.651;0.648;1000000","0.663;0.65;0.642;2000000","0;0;0;0","0;0;0;0","3039513678;3840245776;1543209877;1000","1508295626;3846153846;1557632399;1000","0;0;0;0","0;0;0;0","1;3;2;0","1;3;2;0"
"parsec-blackscholes-simsmall-3",28,86.62,78.01,"1000;2500;1000;2000","1000;2000;2000;1500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","53.62;86.62;50.02;49.01","51.78;78.01;68.01;48.47","0.6408061337;3.576662804;0.6489119947;0.6399895934","0.7072257437;2.487892642;2.481787122;0.5139870221","0.3770739065;0.3846153846;0.3894080997;0","0.3852080123;0.3816793893;0.381097561;0","0.663;0.65;0.642;2000000","0.649;0.655;0.656;1500000","0;0;0;0","0;0;0;0","1508295626;3846153846;1557632399;1000","1540832049;3053435115;3048780488;1000","0;0;0;0","0;0;0;0","1;3;2;0","2;3;1;0"
"parsec-blackscholes-simsmall-3",29,78.01,87.2,"1000;2000;2000;1500","1500;2500;1000;1000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","51.78;78.01;68.01;48.47","55.44;87.2;54.01;47.81","0.7072257437;2.487892642;2.481787122;0.5139870221","1.196654298;3.578557264;0.6410532957;0.4027583553","0.3852080123;0.3816793893;0.381097561;0","0.3834355828;0.3852080123;0.3770739065;0","0.649;0.655;0.656;1500000","0.652;0.649;0.663;1000001.6","0;0;0;0","0;0;0;0","1540832049;3053435115;3048780488;1000","2300613497;3852080123;1508295626;999.9984","0;0;0;0","0;0;0;0","2;3;1;0","2;3;1;0"
"parsec-blackscholes-simsmall-3",30,87.2,69.67,"1500;2500;1000;1000","2000;1500;1000;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","55.44;87.2;54.01;47.81","69.67;67.18;51.72;48.81","1.196654298;3.578557264;0.6410532957;0.4027583553","2.500620642;1.365574581;0.7054781087;0.6399895837","0.3834355828;0.3852080123;0.3770739065;0","0.3846153846;0.382848392;0.3834355828;0","0.652;0.649;0.663;1000001.6","0.65;0.653;0.652;2000001.204","0;0;0;0","0;0;0;0","2300613497;3852080123;1508295626;999.9984","3076923077;2297090352;1533742331;999.999398","0;0;0;0","0;0;0;0","2;3;1;0","2;3;1;0"
"parsec-blackscholes-simsmall-3",31,69.67,79.57,"2000;1500;1000;2000","1500;1500;2500;1000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","69.67;67.18;51.72;48.81","51.97;60.41;79.57;48.4","2.500620642;1.365574581;0.7054781087;0.6399895837","0.513987028;1.185283523;3.581232884;0.6448810097","0.3846153846;0.382848392;0.3834355828;0","0;0.3770739065;0.3852080123;0.382848392","0.65;0.653;0.652;2000001.204","1500000.503;0.663;0.649;0.653","0;0;0;0","0;0;0;0","3076923077;2297090352;1533742331;999.999398","999.9996647;2262443439;3852080123;1531393568","0;0;0;0","0;0;0;0","2;3;1;0","0;1;3;2"
"parsec-blackscholes-simsmall-3",32,79.57,85.76,"1500;1500;2500;1000","2500;1500;2500;1500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","51.97;60.41;79.57;48.4","49.58;58.55;85.76;54.09","0.513987028;1.185283523;3.581232884;0.6448810097","0.7811186458;1.206513634;3.530359144;1.204013583","0;0.3770739065;0.3852080123;0.382848392","0;0.3888024883;0.3787878788;0.3875968992","1500000.503;0.663;0.649;0.653","2500000.834;0.643;0.66;0.645","0;0;0;0","0;0;0;0","999.9996647;2262443439;3852080123;1531393568","999.9996664;2332814930;3787878788;2325581395","0;0;0;0","0;0;0;0","0;1;3;2","0;2;1;3"
"parsec-blackscholes-simsmall-3",33,85.76,77.43,"2500;1500;2500;1500","1500;1000;2000;1000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","49.58;58.55;85.76;54.09","56.35;49.78;77.43;51.05","0.7811186458;1.206513634;3.530359144;1.204013583","1.358924191;0.4027583522;2.467211882;0.7029702197","0;0.3888024883;0.3787878788;0.3875968992","0.3799392097;0;0.3776435045;0.3799392097","2500000.834;0.643;0.66;0.645","0.658;1000000.333;0.662;0.658","0;0;0;0","0;0;0;0","999.9996664;2332814930;3787878788;2325581395","2279635258;999.999667;3021148036;1519756839","0;0;0;0","0;0;0;0","0;2;1;3","3;0;1;2"
"parsec-blackscholes-simsmall-3",34,77.43,68.38,"1500;1000;2000;1000","1500;1000;2000;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","56.35;49.78;77.43;51.05","58.05;50.84;55.03;68.38","1.358924191;0.4027583522;2.467211882;0.7029702197","1.349723732;0.7061112077;0.6399895837;2.504661562","0.3799392097;0;0.3776435045;0.3799392097","0.3759398496;0.3840245776;0;0.3852080123","0.658;1000000.333;0.662;0.658","0.665;0.651;2000000.667;0.649","0;0;0;0","0;0;0;0","2279635258;999.999667;3021148036;1519756839","2255639098;1536098310;999.9996665;3081664099","0;0;0;0","0;0;0;0","3;0;1;2","1;3;0;2"
"parsec-blackscholes-simsmall-3",35,68.38,79.21,"1500;1000;2000;2000","1500;2500;1000;1500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","58.05;50.84;55.03;68.38","56.84;79.21;52.13;51.38","1.349723732;0.7061112077;0.6399895837;2.504661562","1.198043476;3.568657084;0.6430783807;0.513987028","0.3759398496;0.3840245776;0;0.3852080123","0.3840245776;0.3834355828;0.3805175038;0","0.665;0.651;2000000.667;0.649","0.651;0.652;0.657;1500000.5","0;0;0;0","0;0;0;0","2255639098;1536098310;999.9996665;3081664099","2304147465;3834355828;1522070015;999.9996667","0;0;0;0","0;0;0;0","1;3;0;2","2;3;1;0"
"parsec-blackscholes-simsmall-3",36,79.21,86.3,"1500;2500;1000;1500","1500;2500;1000;1500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","56.84;79.21;52.13;51.38","56.69;86.3;50.81;48.4","1.198043476;3.568657084;0.6430783807;0.513987028","1.202282225;3.585216794;0.6436684947;0.513987028","0.3840245776;0.3834355828;0.3805175038;0","0.3863987635;0.3858024691;0.381097561;0","0.651;0.652;0.657;1500000.5","0.647;0.648;0.656;1500000.5","0;0;0;0","0;0;0;0","2304147465;3834355828;1522070015;999.9996667","2318392581;3858024691;1524390244;999.9996667","0;0;0;0","0;0;0;0","2;3;1;0","2;3;1;0"
"parsec-blackscholes-simsmall-3",37,86.3,69.42,"1500;2500;1000;1500","1500;1500;1000;1000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","56.69;86.3;50.81;48.4","48.83;69.42;51.95;51.06","1.202282225;3.585216794;0.6436684947;0.513987028","0.5139870123;1.629503931;0.8033416917;0.8106379237","0.3863987635;0.3858024691;0.381097561;0","0;0.3759398496;0.3799392097;0.386996904","0.647;0.648;0.656;1500000.5","1500000.5;0.665;0.658;0.646","0;0;0;0","0;0;0;0","2318392581;3858024691;1524390244;999.9996667","999.9996667;2255639098;1519756839;1547987616","0;0;0;0","0;0;0;0","2;3;1;0","0;1;3;2"
