experiment,cycle,start_peak_temp_c,end_peak_temp_c,old_frequencies_mhz,new_frequencies_mhz,active_cores,predicted_core_temps_c,predicted_temp_errors_c,start_core_temps_c,end_core_temps_c,start_core_powers_w,end_core_powers_w,start_core_utilizations,end_core_utilizations,start_core_cpis,end_core_cpis,start_core_rel_nuca_cpis,end_core_rel_nuca_cpis,start_core_ips,end_core_ips,start_core_task_ids,end_core_task_ids,start_core_thread_ids,end_core_thread_ids
"parsec-blackscholes-simsmall-3",400,68.48,65.87,"2500;1000;2500;2000","2500;1000;2000;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","52.59;68.48;64.53;64.22","51.85;65.87;65.06;64.88","0.7811221194;0.6545891127;3.424797714;2.168603282","0.7811221194;0.6433610757;2.157200872;2.169956862","0;0.398089172;0.3639010189;0.3949447077","0;0.3805175038;0.3918495298;0.3955696203","250050;0.628;0.687;0.633","250000.76;0.657;0.638;0.632","0;0;0;0","0;0;0;0","9998.0004;1592356688;3639010189;3159557662","9999.9696;1522070015;3134796238;3164556962","0;0;0;0","0;0;0;0","0;1;2;3","0;1;2;3"
"parsec-blackscholes-simsmall-3",401,65.87,65.99,"2500;1000;2000;2000","1500;1000;1000;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","51.85;65.87;65.06;64.88","53;63.14;63;65.99","0.7811221194;0.6433610757;2.157200872;2.169956862","1.343693172;0.402759213;0.7233741267;2.417749572","0;0.3805175038;0.3918495298;0.3955696203","0.3725782414;0;0.4058441558;0.3676470588","250000.76;0.657;0.638;0.632","0.671;100000.567;0.616;0.68","0;0;0;0","0;0;0;0","9999.9696;1522070015;3134796238;3164556962","2235469449;9999.9433;1623376623;2941176471","0;0;0;0","0;0;0;0","0;1;2;3","3;0;2;1"
"parsec-blackscholes-simsmall-3",402,65.99,69.06,"1500;1000;1000;2000","2500;1500;2500;2500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","53;63.14;63;65.99","58.23;60.86;66.56;69.06","1.343693172;0.402759213;0.7233741267;2.417749572","3.599888824;0.5139878165;3.472689824;3.539054514","0.3725782414;0;0.4058441558;0.3676470588","0.3881987578;0;0.3703703704;0.3793626707","0.671;100000.567;0.616;0.68","0.644;150000.456;0.675;0.659","0;0;0;0","0;0;0;0","2235469449;9999.9433;1623376623;2941176471","3881987578;9999.9696;3703703704;3793626707","0;0;0;0","0;0;0;0","3;0;2;1","3;0;2;1"
"parsec-blackscholes-simsmall-3",403,69.06,69.75,"2500;1500;2500;2500","2500;1000;2500;1500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","58.23;60.86;66.56;69.06","62.53;58.91;69.75;67.01","3.599888824;0.5139878165;3.472689824;3.539054514","3.622642884;0.4027592439;3.651814774;1.179402336","0.3881987578;0;0.3703703704;0.3793626707","0.3912363067;0;0.3949447077;0.3736920777","0.644;150000.456;0.675;0.659","0.639;100000.639;0.633;0.669","0;0;0;0","0;0;0;0","3881987578;9999.9696;3703703704;3793626707","3912363067;9999.9361;3949447077;2242152466","0;0;0;0","0;0;0;0","3;0;2;1","3;0;2;1"
"parsec-blackscholes-simsmall-3",404,69.75,66.68,"2500;1000;2500;1500","2500;2000;1000;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","62.53;58.91;69.75;67.01","66.06;60.62;66.68;64.04","3.622642884;0.4027592439;3.651814774;1.179402336","3.564100074;2.182183842;0.6328821887;0.6399902453","0.3912363067;0;0.3949447077;0.3736920777","0.3834355828;0.3987240829;0.3639010189;0","0.639;100000.639;0.633;0.669","0.652;0.627;0.687;200000.608","0;0;0;0","0;0;0;0","3912363067;9999.9361;3949447077;2242152466","3834355828;3189792663;1455604076;9999.9696","0;0;0;0","0;0;0;0","3;0;2;1","1;2;3;0"
"parsec-blackscholes-simsmall-3",405,66.68,70.04,"2500;2000;1000;2000","1500;1000;2500;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","66.06;60.62;66.68;64.04","64.39;58.55;70.04;64.87","3.564100074;2.182183842;0.6328821887;0.6399902453","1.158277548;0.4027592439;3.622467564;2.149461532","0.3834355828;0.3987240829;0.3639010189;0","0.3617945007;0;0.3912363067;0.3900156006","0.652;0.627;0.687;200000.608","0.691;100000.569;0.639;0.641","0;0;0;0","0;0;0;0","3834355828;3189792663;1455604076;9999.9696","2170767004;9999.9431;3912363067;3120124805","0;0;0;0","0;0;0;0","1;2;3;0","2;0;3;1"
"parsec-blackscholes-simsmall-3",406,70.04,68.05,"1500;1000;2500;2000","1000;2000;1500;2500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","64.39;58.55;70.04;64.87","62.32;56.94;67.95;68.05","1.158277548;0.4027592439;3.622467564;2.149461532","0.6547958857;0.6399902453;1.202952659;3.481327884","0.3617945007;0;0.3912363067;0.3900156006","0.3987240829;0;0.386996904;0.3720238095","0.691;100000.569;0.639;0.641","0.627;200001.137;0.646;0.672","0;0;0;0","0;0;0;0","2170767004;9999.9431;3912363067;3120124805","1594896332;9999.94315;2321981424;3720238095","0;0;0;0","0;0;0;0","2;0;3;1","2;0;3;1"
"parsec-blackscholes-simsmall-3",407,68.05,67.77,"1000;2000;1500;2500","2500;2000;1500;2000","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","62.32;56.94;67.95;68.05","66.37;55.57;66.38;67.77","0.6547958857;0.6399902453;1.202952659;3.481327884","3.668336814;0.6399902453;1.201144269;2.028115312","0.3987240829;0;0.386996904;0.3720238095","0.3974562798;0;0.3858024691;0.3586800574","0.627;200001.137;0.646;0.672","0.629;200000.337;0.648;0.697","0;0;0;0","0;0;0;0","1594896332;9999.94315;2321981424;3720238095","3974562798;9999.98315;2314814815;2869440459","0;0;0;0","0;0;0;0","2;0;3;1","2;0;3;1"
"parsec-blackscholes-simsmall-3",408,67.77,70.83,"2500;2000;1500;2000","2500;1500;2000;2500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","66.37;55.57;66.38;67.77","63.29;55.85;66.65;70.83","3.668336814;0.6399902453;1.201144269;2.028115312","0.7811221194;1.187974081;2.055928572;3.618474504","0.3974562798;0;0.3858024691;0.3586800574","0;0.378214826;0.365497076;0.390625","0.629;200000.337;0.648;0.697","250094.015;0.661;0.684;0.64","0;0;0;0","0;0;0;0","3974562798;9999.98315;2314814815;2869440459","9996.240814;2269288956;2923976608;3906250000","0;0;0;0","0;0;0;0","2;0;3;1","0;3;2;1"
"parsec-blackscholes-simsmall-3",409,70.83,73.01,"2500;1500;2000;2500","2500;1000;1000;2500","1;1;1;1","nan;nan;nan;nan","nan;nan;nan;nan","63.29;55.85;66.65;70.83","60.94;55.11;64.24;73.01","0.7811221194;1.187974081;2.055928572;3.618474504","0.7811221194;0.6627233487;0.6427814937;3.474950394","0;0.378214826;0.365497076;0.390625","0;0.4111842105;0.3799392097;0.3709198813","250094.015;0.661;0.684;0.64","250001.515;0.608;0.658;0.674","0;0;0;0","0;0;0;0","9996.240814;2269288956;2923976608;3906250000","9999.9394;1644736842;1519756839;3709198813","0;0;0;0","0;0;0;0","0;3;2;1","0;3;2;1"
